연번,구분,위치,위도,경도,규모(제곱미터),설치년월,설치주체,운영관리,기준일자
1,개방형,서울특별시 노원구 중계동 507 중계근린공원 주차장 내,37.63965447,127.0651318,52,2017-12-01,노원구청,노원구,2024-07-10
2,밀폐형,서울특별시 노원구 중계동 508-1 등나무문화공원 주차장 내,37.64044018,127.0676933,18,2024-12-01,노원구청,노원구,2024-07-10
